Matt Carpenter 0.224
Paul Goldschmidt 0.235
Paul DeJong 0.329
Marcel Ozuna 0.269
Yadi Molina 0.243
Dexter Fowler 0.271
Harrison Bader 0.179
Kolton Wong 0.290
Jose Martinez 0.333
Matt Wieters 0.333
Yairo Munoz 0.286
Tyler O'Neill 0.286
Jed Gyorko 0.100
Lane Thomas 0.500
