Matt Carpenter 0.224 0.326
Paul Goldschmidt 0.235 0.333
Paul DeJong 0.329 0.396
Marcel Ozuna 0.269 0.355
Yadi Molina 0.243 0.269
Dexter Fowler 0.271 0.377
Harrison Bader 0.179 0.347
Kolton Wong 0.290 0.430
Jose Martinez 0.333 0.333
Matt Wieters 0.333 0.364
Yairo Munoz 0.286 0.375
Tyler O'Neill 0.286 0.310
Jed Gyorko 0.100 0.250
Lane Thomas 0.500 0.500
